"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"847","Namomōhana Taraṅgiṇi","

        General. 1 Printed Book. Original reference number: 23150.

                  
            
              
              View images from this file (358)
            
          
              ","EAP673/1/847","358 TIFF images","File","Kannada","Kannada","1913","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_847/1.jp2/full/!600,300/0/default.jpg"
"848","Śrībhagavadgi'Īgata","

        Literature. 1 Printed Book. Original reference number: 29756.

                  
            
              
              View images from this file (670)
            
          
              ","EAP673/1/848","670 TIFF images","File","Kannada","Kannada","1913","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_848/1.jp2/full/!600,300/0/default.jpg"
"849","Rāghavāṅkara Kāvyaṁ","

        Literature. 1 Printed Book. Original reference number: 297176.

                  
            
              
              View images from this file (336)
            
          
              ","EAP673/1/849","336 TIFF images","File","Kannada","Kannada","1904","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_849/1.jp2/full/!600,300/0/default.jpg"
"850","Jaimini Bhārata Modala Bhāga","

        Literature. 1 Printed Book. Original reference number: 1.

                  
            
              
              View images from this file (256)
            
          
              ","EAP673/1/850","256 TIFF images","File","Kannada","Kannada","1888","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_850/1.jp2/full/!600,300/0/default.jpg"
"851","Jaimini Bhārata","

        Literature. 1 Printed Book. Original reference number: 3.

                  
            
              
              View images from this file (264)
            
          
              ","EAP673/1/851","264 TIFF images","File","Kannada","Kannada","1888","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_851/1.jp2/full/!600,300/0/default.jpg"
"852","Mahābhāratada Kannaḍa ṭīkubhīṣma Parva","

        Literature. 1 Printed Book. Original reference number: 11.

                  
            
              
              View images from this file (210)
            
          
              ","EAP673/1/852","210 TIFF images","File","Kannada","Kannada","1890","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_852/1.jp2/full/!600,300/0/default.jpg"
"853","Mahābhārata Kannaḍa ṭīku Strī Parva","

        Literature. 1 Printed Book. Original reference number: 171.

                  
            
              
              View images from this file (40)
            
          
              ","EAP673/1/853","40 TIFF images","File","Kannada","Kannada","1891","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_853/1.jp2/full/!600,300/0/default.jpg"
"854","Mahābhārata Kannaḍa ṭīku Virāṭa Parva","

        Literature. 1 Printed Book. Original reference number: 356.

                  
            
              
              View images from this file (150)
            
          
              ","EAP673/1/854","150 TIFF images","File","Kannada","Kannada","1891","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_854/1.jp2/full/!600,300/0/default.jpg"
"855","Mārkandeyya Caritre","

        Literature. 1 Printed Book. Original reference number: 445.

                  
            
              
              View images from this file (174)
            
          
              ","EAP673/1/855","174 TIFF images","File","Kannada","Kannada","1889","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_855/1.jp2/full/!600,300/0/default.jpg"
"856","Śrīvāṇi Vinōdanāṭaka","

        Folk Literature. 1 Printed Book. Original reference number: 449.

                  
            
              
              View images from this file (64)
            
          
              ","EAP673/1/856","64 TIFF images","File","Kannada","Kannada","1895","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_856/1.jp2/full/!600,300/0/default.jpg"
"857","Madbhāgavata Kannaḍa ṭīku Daśama Skanda","

        Literature. 1 Printed Book. Original reference number: 530.

                  
            
              
              View images from this file (282)
            
          
              ","EAP673/1/857","282 TIFF images","File","Kannada","Kannada","1897","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_857/1.jp2/full/!600,300/0/default.jpg"
"858","Mahābhārata Kannaḍa ṭīku Bhīṣma Parva","

        Literature. 1 Printed Book. Original reference number: 540.

                  
            
              
              View images from this file (216)
            
          
              ","EAP673/1/858","216 TIFF images","File","Kannada","Kannada","1893","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_858/1.jp2/full/!600,300/0/default.jpg"
"859","Mahābhāratada Kannaḍa ṭīku Sauptika Parva","

        Literature. 1 Printed Book. Original reference number: 731.

                  
            
              
              View images from this file (44)
            
          
              ","EAP673/1/859","44 TIFF images","File","Kannada","Kannada","1891","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_859/1.jp2/full/!600,300/0/default.jpg"
"860","Vikramacaritre","

        Literature. 1 Printed Book. Original reference number: 753.

                  
            
              
              View images from this file (208)
            
          
              ","EAP673/1/860","208 TIFF images","File","Kannada","Kannada","1901","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_860/1.jp2/full/!600,300/0/default.jpg"
"861","Sukhavū Śāntiyū","

        Literature. 1 Printed Book. Original reference number: 1244.

                  
            
              
              View images from this file (52)
            
          
              ","EAP673/1/861","52 TIFF images","File","Kannada","Kannada","1921","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_861/1.jp2/full/!600,300/0/default.jpg"
